team,id
UC San Diego Tritons,15478
Florida Gators,15553
Florida State Seminoles,15352
Georgetown University Hoyas,15453
Gonzaga Bulldogs,15455
Kansas Jayhawks,14658
La Salle Explorers,15486
Loyola-Maryland Greyhounds,15536
Michigan State Spartans,14675
Middle Tennessee Blue Raiders,14679
Ole Miss Rebels,15235
Montana Grizzlies,15166
Montana State Bobcats,15232
North Carolina Tar Heels,15592
Northern Iowa Panthers,15363
Northwestern Wildcats,15216
Notre Dame Fighting Irish,15369
Ohio State Buckeyes,14942
Old Dominion Monarchs,14653
Pacific Tigers,15441
Portland Pilots,15396
Purdue Boilermakers,15451
Richmond Spiders,14666
San Diego State Aztecs,15447
San Jose State Spartans,14669
UC-Santa Barbara Gauchos,15445
Saint Joseph's Hawks,15546
St. Mary's Gaels,15237
Syracuse Orange,14682
Texas Longhorns,15283
Troy Trojans,15549
UCLA Bruins,15367
Louisiana-Monroe Warhawks,15288
Utah State Aggies,14930
Vanderbilt Commodores,15502
Villanova Wildcats,14933
Washington Huskies,15355
Weber State Wildcats,14936
Western Michigan Broncos,15505
Wisconsin Badgers,15361
Yale Bulldogs,15376
Alabama State Hornets,14657
American Eagles,15541
Delaware State Hornets,15224
Howard Bison,15542
Jackson State Tigers,15437
Lafayette Leopards,15506
Morgan State Bears,15593
Prairie View A&M Panthers,15597
Abilene Christian Wildcats,15351
Akron Zips,15375
Arizona State Sun Devils,15364
Baylor Bears,14655
Buffalo Bulls,15219
Cincinnati Bearcats,15489
Cal State-Northridge Matadors,14938
Davidson Wildcats,#VALUE!
Duke Blue Devils,14690
Grand Canyon Antelopes,15291
Cal Baptist Lancers,15539
Tarleton State Texans,15215
Harvard Crimson,15353
Indiana State Sycamores,15456
Long Beach State Beach,15157
Michigan Wolverines,14660
Minnesota Golden Gophers,15158
New Mexico Lobos,15555
San Diego Toreros,14668
Santa Clara Broncos,14670
South Alabama Jaguars,15500
South Carolina State Bulldogs,15461
St. Bonaventure Bonnies,14674
UMKC Roos,15393
UC Riverside Highlanders,14686
New Mexico State Aggies,15299
Coastal Carolina Chanticleers,14691
Ball State Cardinals,14696
Lehigh Mountain Hawks,15545
North Dakota State Bison,15227
South Dakota State Jackrabbits,15550
Dixie State Trailblazers,15295
Idaho Vandals,15443
Indiana Hoosiers,14661
California Golden Bears,15170
Oregon State Beavers,15360
Marquette Golden Eagles,15357
Sacramento State Hornets,15532
Maryland-Eastern Shore Hawks,15285
San Francisco Dons,15477
Oklahoma State Cowboys,15599
Drake Bulldogs,14938
Jacksonville State Gamecocks,15581
Bucknell Bison,15156
Arkansas-Pine Bluff Golden Lions,15495
James Madison Dukes,15372
UMass Minutemen,15169
Saint Louis Billikens,14521
Stanford Cardinal,14678
Texas Southern Tigers,15479
Arkansas State Red Wolves,15214
Norfolk State Spartans,15535
Alabama Crimson Tide,14663
Virginia Cavaliers,14664
Kentucky Wildcats,15544
Cal Poly Mustangs,15392
Georgia Bulldogs,15290
Arizona Wildcats,15220
Washington State Cougars,14692
Portland State Vikings,15577
Xavier Musketeers,15386
Georgia Southern Eagles,15378
Liberty Flames,15387
Loyola Marymount Lions,15154
USC Trojans,15339
Army Black Knights,15449
Pennsylvania Quakers,14698
Connecticut Huskies,15351
Fordham Rams,14653
Iowa Hawkeyes,15498
Louisiana-Lafayette Ragin' Cajuns,14934
Central Florida Knights,15559
Seton Hall Pirates,15452
UTEP Miners,15485
Toledo Rockets,15560
St. John's Red Storm,15439
Sam Houston State Bearkats,15561
Houston Cougars,15358
Boston College Eagles,14693
DePaul Blue Demons,15398
Wake Forest Demon Deacons,14732
Clemson Tigers,14745
Marshall Thundering Herd,15222
UC Irvine Anteaters,14770
Holy Cross Crusaders,15241
Creighton Bluejays,15399
Iowa State Cyclones,15164
Cornell Big Red,15578
Appalachian State Mountaineers,15476
Utah Valley Wolverines,15226
Columbia Lions,15499
Dartmouth Big Green,15551
UIC Flames,15155
Northern Colorado Bears,15444
Rutgers Scarlet Knights,15459
Louisville Cardinals,14667
Auburn Tigers,15538
Coppin State Eagles,15391
North Carolina Central Eagles,15457
Pepperdine Waves,15533
Texas Tech Red Raiders,15501
Arkansas Razorbacks,15543
Northern Illinois Huskies,15580
Georgia Tech Yellow Jackets,15584
Louisiana Tech Bulldogs,15159
Missouri State Bears,14676
Pittsburgh Panthers,14677
NC State Wolfpack,15496
Princeton Tigers,14688
Miami Hurricanes,15497
Eastern Michigan Eagles,15452
George Mason Patriots,14655
Colgate Raiders,15454
George Washington Revolutionaries,14656
Maryland Terrapins,15454
Valparaiso Beacons,15374
Murray State Racers,14756
Alabama A&M Bulldogs,15173
Penn State Nittany Lions,14659
Boston University Terriers,15487
Alcorn State Braves,15281
Bethune-Cookman Wildcats,15438
Bradley Braves,15397
Cal State-Bakersfield Roadrunners,15477
Dayton Flyers,14521
Eastern Washington Eagles,15284
Florida A&M Rattlers,15569
Georgia State Panthers,14662
Kent State Golden Flashes,15570
Loyola-Chicago Ramblers,15583
Navy Midshipmen,15488
Oklahoma Sooners,15537
Providence Friars,15492
Southern Jaguars,14684
Tennessee Volunteers,15588
UC Davis Aggies,14689
UNLV Runnin' Rebels,15460
Wyoming Cowboys,14703
Bowling Green Falcons,15473
Evansville Aces,15230
Oregon Ducks,15474
Boise State Broncos,15481
BYU Cougars,15574
Colorado Buffaloes,14751
Utah Runnin' Utes,15598
South Dakota Coyotes,14787
Western Kentucky Hilltoppers,15490
Air Force Falcons,15238
Idaho State Bengals,15579
Rhode Island Rams,15594
South Carolina Gamecocks,15585
Southern Illinois Salukis,15174
Illinois Fighting Illini,15586
Kansas State Wildcats,15507
TCU Horned Frogs,15175
Colorado State Rams,33819
Northern Arizona Lumberjacks,15167
Florida International Panthers,15379
SMU Mustangs,15240
Virginia Tech Hokies,15171
Kennesaw State Owls,15292
Illinois State Redbirds,15551
Duquesne Dukes,14652
Nebraska Cornhuskers,15354
Southern Mississippi Golden Eagles,14687
Central Michigan Chippewas,15371
Miami-Ohio RedHawks,14671
Ohio Bobcats,15163
LSU Tigers,15556
Mississippi State Bulldogs,15590
Grambling State Tigers,14685
Southern Utah Thunderbirds,14656
Brown Bears,15296
Belmont Bruins,15217
Denver Pioneers,14672
Fresno State Bulldogs,15436
Hawaii Rainbow Warriors,14673
Missouri Tigers,14680
Nevada Wolf Pack,15161
North Dakota Fighting Hawks,15223
Oral Roberts Golden Eagles,15162
Seattle Redhawks,15289
Texas A&M Aggies,14851
Texas-Arlington Mavericks,15061
Texas State Bobcats,15190
VCU Rams,15034
West Virginia Mountaineers,15587
Nebraska-Omaha Mavericks,15575
Butler Bulldogs,15069
Mississippi Valley State Delta Devils,15589
Cal State-Fullerton Titans,15381
St. Thomas (MN) Tommies,33819
