"team_short_display_name","team_id"
"Purdue",2509
"UConn",41
"Alabama",333
"NC State",152
"Indiana St",282
"Seton Hall",2550
"Georgia",61
"Utah",254
"Duke",150
"Tennessee",2633
"Clemson",228
"Illinois",356
"Creighton",156
"Houston",248
"Gonzaga",2250
"Marquette",269
"Iowa State",66
"North Carolina",153
"San Diego St",21
"Arizona",12
"VCU",2670
"UNLV",2439
"Purdue FW",2870
"Norfolk St",2450
"High Point",2272
"Seattle U",2547
"Fairfield",2217
"Cincinnati",2132
"Ohio State",194
"Arkansas St",2032
"Tarleton St",2627
"Evansville",339
"Chicago St",2130
"Montana",149
"Cleveland St",325
"Yale",43
"Boston College",103
"Iowa",2294
"Texas A&M",245
"Northwestern",77
"South Florida",58
"Grand Canyon",2253
"Baylor",239
"Quinnipiac",2514
"James Madison",256
"Wake Forest",154
"Little Rock",2031
"Utah State",328
"Minnesota",135
"Presbyterian",2506
"Colorado",38
"N Colorado",2458
"Oregon",2483
"Duquesne",2184
"Texas",251
"Oakland",2473
"Virginia Tech",259
"Washington St",265
"Delaware St",2169
"Michigan St",127
"Alabama A&M",2010
"Kansas",2305
"UC San Diego",28
"Bradley",71
"Bethune",2065
"Dayton",2168
"North Texas",249
"Saint Mary's",2608
"TCU",2628
"Wisconsin",275
"Longwood",2344
"Charleston",232
"Grambling",2755
"Vermont",261
"Nebraska",158
"Florida",57
"Auburn",2
"Stetson",56
"New Mexico",167
"Western KY",98
"UAB",5
"Colgate",2142
"FAU",2226
"Samford",2535
"Drake",2181
"Texas Tech",2641
"Saint Peter's",2612
"McNeese",2377
"S Dakota St",2571
"Kentucky",96
"Colorado St",36
"Nevada",2440
"South Carolina",2579
"Morehead St",2413
"Wagner",2681
"Long Beach St",299
"Akron",2006
"BYU",252
"Mississippi St",344
"Boise St",68
"San Francisco",2539
"Villanova",222
"Princeton",163
"Appalachian St",2026
"Austin Peay",2046
"Saint Joseph's",2603
"SMU",2567
"Loyola Chicago",2350
"Bowling Green",189
"Abilene Chrstn",2000
"Montana St",147
"UC Irvine",300
"Virginia",258
"UCF",2116
"Richmond",257
"Butler",2086
"Kansas St",2306
"Texas A&M-CC",357
"LSU",99
"Providence",2507
"Xavier",2752
"Cornell",172
"Texas Southern",2640
"Howard",47
"Temple",218
"Brown",225
"UT Arlington",250
"UC Davis",302
"UTEP",2638
"Kent State",2309
"St Bonaventure",179
"UMass Lowell",2349
"Hawai'i",62
"Charlotte",2429
"Indiana",84
"Marist",2368
"NC Central",2428
"Ohio",195
"Pitt",221
"St John's",2599
"Wichita St",2724
"MTSU",2393
"East Carolina",151
"Sam Houston",2534
"UC Riverside",27
"SF Austin",2617
"Southern",2582
"Stanford",24
"Penn State",213
"Rider",2520
"CSU Northridge",2463
"CA Baptist",2856
"New Mexico St",166
"SC State",2569
"Tulane",2655
"Ole Miss",145
"W Michigan",2711
"Niagara",315
"Liberty",2335
"Morgan St",2415
